# OsisBookName	OsisId	MorphCode	MorphNote	LemmaCode	LemmaNote
1Sam	092sV	HC/Vpw3ms	Moving from 'C/Vqw3ms' to 'C/Vpw3ms' because 'יִהְיֶה' is Qal Imperfect and 'יְהִי' is Piel Imperfect.		
1Sam	093FW	HC/Vpw3fs	Moving from 'C/Vqw3fs' to 'C/Vpw3fs' because 'תִּהְיֶה' is Qal Imperfect and 'יתְּהִי' is Piel Imperfect.		
1Sam	0958v	HC/Vpw3ms	Moving from 'C/Vqw3ms' to 'C/Vpw3ms' because 'יִהְיֶה' is Qal Imperfect and 'יְהִי' is Piel Imperfect.		
1Sam	095tD	HC/Vpw3ms	Moving from 'C/Vqw3ms' to 'C/Vpw3ms' because 'יִהְיֶה' is Qal Imperfect and 'יְהִי' is Piel Imperfect.		
1Sam	096gH	HC/Vpw3ms	Moving from 'C/Vqw3ms' to 'C/Vpw3ms' because 'יִהְיֶה' is Qal Imperfect and 'יְהִי' is Piel Imperfect.		
1Sam	096Lg	HC/Vpw3ms	Moving from 'C/Vqw3ms' to 'C/Vpw3ms' because 'יִהְיֶה' is Qal Imperfect and 'יְהִי' is Piel Imperfect.		
1Sam	097TQ	HC/Vpw3fs	Moving from 'C/Vqw3fs' to 'C/Vpw3fs' because 'תִּהְיֶה' is Qal Imperfect and 'יתְּהִי' is Piel Imperfect.		
1Sam	09AAw	HC/Vpw3ms	Moving from 'C/Vqw3ms' to 'C/Vpw3ms' because 'יִהְיֶה' is Qal Imperfect and 'יְהִי' is Piel Imperfect.		
1Sam	09ACT	HC/Vpw3ms	Moving from 'C/Vqw3ms' to 'C/Vpw3ms' because 'יִהְיֶה' is Qal Imperfect and 'יְהִי' is Piel Imperfect.		
1Sam	09bJB	HC/Vpw3ms	Moving from 'C/Vqw3ms' to 'C/Vpw3ms' because 'יִהְיֶה' is Qal Imperfect and 'יְהִי' is Piel Imperfect.		
1Sam	09buH	HC/Vpw3ms	Moving from 'C/Vqw3ms' to 'C/Vpw3ms' because 'יִהְיֶה' is Qal Imperfect and 'יְהִי' is Piel Imperfect.		
1Sam	09cAP	HC/Vpi3ms	Moving from 'C/Vqi3ms' to 'C/Vpi3ms' because 'יִהְיֶה' is Qal Imperfect and 'יְהִי' is Piel Imperfect.		
1Sam	09dip	HC/Vpw3ms	Moving from 'C/Vqw3ms' to 'C/Vpw3ms' because 'יִהְיֶה' is Qal Imperfect and 'יְהִי' is Piel Imperfect.		
1Sam	09dwS	HC/Vpw3ms	Moving from 'C/Vqw3ms' to 'C/Vpw3ms' because 'יִהְיֶה' is Qal Imperfect and 'יְהִי' is Piel Imperfect.		
1Sam	09dWz	HC/Vpi3fs	Moving from 'C/Vqj3fs' to 'C/Vpi3fs' because 'תְּהִי' is Piel Imperfect.		
1Sam	09e64	HC/Vpw3ms	Moving from 'C/Vqw3ms' to 'C/Vpw3ms' because 'יִהְיֶה' is Qal Imperfect and 'יְהִי' is Piel Imperfect.		
1Sam	09EqE	HC/Vpw3ms	Moving from 'C/Vqw3ms' to 'C/Vpw3ms' because 'יִהְיֶה' is Qal Imperfect and 'יְהִי' is Piel Imperfect.		
1Sam	09fA1	HC/Vpw3ms	Moving from 'C/Vqw3ms' to 'C/Vpw3ms' because 'יִהְיֶה' is Qal Imperfect and 'יְהִי' is Piel Imperfect.		
1Sam	09fvv			l	Removing Strongs number applied to a suffix, clearly copied from a prior word by mistake.
1Sam	09giJ	HC/Vpw3ms	Moving from 'C/Vqw3ms' to 'C/Vpw3ms' because 'יִהְיֶה' is Qal Imperfect and 'יְהִי' is Piel Imperfect.		
1Sam	09gut	HC/Vpw3ms	Moving from 'C/Vqw3ms' to 'C/Vpw3ms' because 'יִהְיֶה' is Qal Imperfect and 'יְהִי' is Piel Imperfect.		
